2025-07-15 | Aloe Blacc | https://www.ronniescotts.co.uk/performances/view/XYZ123 | Soho | Ronnie Scott’s Jazz Club | 220 | 18:45 | 19:30 | 22:00 | Soulful singer Aloe Blacc performs an intimate jazz club set. | Available | N/A | 20:00 | 21:30 | N/A
2025-07-17 | Youssou N’Dour | https://www.skiddle.com/whats-on/London/Roundhouse/Youssou-NDour/40868903/ | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Senegalese music legend live in Camden. | Available | DJ John Armstrong | 21:00 | 22:30 | Curfew 23:00
2025-07-18 | Peter Cat Recording Co. | https://www.axs.com/events/481942/peter-cat-recording-co-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Indian indie-fusion band brings eclectic sounds. | Available | N/A | 21:00 | 22:30 | Curfew 23:00
2025-07-22 | Milkshake: London’s Biggest Student Night | https://www.skiddle.com/whats-on/London/Ministry-Of-Sound/Milkshake-Ministry-Of-Sound-Summer-UV-Rave/41156926/ | Elephant & Castle | Ministry Of Sound | 1550 | 22:00 | 22:30 | 04:00 | Weekly student rave with multi-room DJs, UV lights and drink deals. | Available | N/A | 00:00 | 03:00 | Last entry 01:30 (18+)
2025-07-28 | Wolfmother | https://www.ticketmaster.co.uk/wolfmother-london-28-07-2025/event/1F005E9AC1234567 | Islington | O2 Academy Islington | 800 | 19:00 | 20:00 | 22:30 | Aussie hard rock trio riffs through their classic hits. | Available | N/A | 20:30 | 22:00 | N/A
2025-08-12 | Melvins + Redd Kross | https://www.seetickets.com/event/melvins/the-electric-ballroom/3351411 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Sludge-rock pioneers Melvins with special guests Redd Kross. | Available | Redd Kross | 21:00 | 22:30 | N/A
2025-08-21 | The Linda Lindas | https://www.seetickets.com/event/the-linda-lindas/o2-academy-islington/3321123 | Islington | O2 Academy Islington | 800 | 19:00 | 20:00 | 22:30 | Teen punk sensations from LA hit the London stage. | Available | N/A | 20:30 | 22:00 | N/A
2025-08-28 | The Lemonheads | https://www.seetickets.com/event/the-lemonheads/electric-ballroom/3312345 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Evan Dando and co. deliver classic alt-rock anthems. | Available | N/A | 21:00 | 22:30 | N/A
2025-09-06 | Gareth Emery presents LSR/CITY | https://www.ticketmaster.co.uk/gareth-emery-lsrcity-london-06-09-2025/event/37005EACA7890123 | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Trance DJ Gareth Emery’s immersive laser-music experience. | Available | N/A | 21:00 | 22:45 | N/A
2025-09-13 | T.Rextasy (T. Rex Tribute) | https://thegigcartel.seetickets.com/event/t-rextasy/o2-academy-islington/3334456 | Islington | O2 Academy Islington | 800 | 18:00 | 19:00 | 22:00 | Tribute to Marc Bolan & T. Rex’s glam rock legacy. | Available | N/A | 19:30 | 21:30 | 45th anniversary show
2025-09-17 | Cian Ducrot | https://www.ticketmaster.co.uk/cian-ducrot-london-17-09-2025/event/1F005EE4CDEF0123 | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Irish singer-songwriter on his Dream Ship Tour. | Few Tickets Left | N/A | 20:30 | 22:45 | N/A
