2025-09-06 | Gareth Emery presents LSR/CITY | https://www.ticketmaster.co.uk/gareth-emery-lsrcity-london-06-09-2025/event/37005EACA7890123 | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Trance DJ Gareth Emery’s immersive laser-music experience. | Available | N/A | 21:00 | 22:45 | N/A
2025-09-17 | Cian Ducrot | https://www.ticketmaster.co.uk/cian-ducrot-london-17-09-2025/event/1F005EE4CDEF0123 | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Irish singer-songwriter on his Dream Ship Tour. | Few Tickets Left | N/A | 20:30 | 22:45 | N/A
2025-10-10 | Self Esteem | https://www.ticketmaster.co.uk/self-esteem-london-10-10-2025/event/37005EDCBA765432 | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Critically acclaimed pop artist brings her empowering anthems. | Sold Out | N/A | 20:30 | 22:45 | N/A
2025-10-21 | Coheed and Cambria: Welcome to Forever Tour | https://www.livenation.co.uk/show/1412345/coheed-and-cambria-welcome-to-forever-tour/london/2025-10-21/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Prog-rock storytellers unleash an epic sci-fi concept set. | Available | N/A | 20:30 | 22:45 | N/A
2025-10-24 | Claptone – The Masquerade | https://www.livenation.co.uk/show/1412349/claptone-the-masquerade/london/2025-10-24/en | Brixton | O2 Academy Brixton | 5000 | 21:00 | 22:00 | 02:00 | Mysterious DJ Claptone hosts an immersive masquerade dance party. | Available | N/A | 23:30 | 01:30 | Club night (18+)
2025-11-01 | Monolink (Live) | https://www.livenation.co.uk/show/1412352/monolink-live/london/2025-11-01/en | Brixton | O2 Academy Brixton | 5000 | 21:00 | 22:00 | 02:00 | Electronic songwriter blends live vocals and guitar with deep beats. | Available | N/A | 23:30 | 01:30 | N/A
2025-11-02 | Loyle Carner | https://www.livenation.co.uk/show/1412355/loyle-carner/london/2025-11-02/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Acclaimed UK hip-hop artist brings heartfelt lyricism to the stage. | Sold Out | N/A | 20:30 | 22:45 | N/A
2025-11-08 | Kae Tempest | https://www.livenation.co.uk/show/1412358/kae-tempest/london/2025-11-08/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Renowned poet-rapper delivers powerful spoken-word and musical storytelling. | Available | N/A | 20:30 | 22:30 | N/A
2025-11-09 | Malevolence | https://www.livenation.co.uk/show/1412360/malevolence-where-only-the-truth-is-spoken-tour/london/2025-11-09/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Sheffield metalcore heavyweights on their “Where Only The Truth Is Spoken” tour. | Available | N/A | 20:30 | 22:30 | N/A
2025-11-13 | Above & Beyond | https://www.livenation.co.uk/show/1412363/above-beyond/london/2025-11-13/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Celebrated trance trio present an uplifting Group Therapy live show. | Available | N/A | 21:00 | 23:00 | N/A
2025-11-18 | Joy Crookes | https://www.livenation.co.uk/show/1412366/joy-crookes-juniper-tour-2025/london/2025-11-18/en | Brixton | O2 Academy Brixton | 5000 | 19:00 | 20:00 | 23:00 | Soulful South London singer’s triumphant hometown show on her Juniper Tour. | Sold Out | N/A | 20:30 | 22:45 | N/A
