2025-07-17 | Youssou N’Dour | https://www.skiddle.com/whats-on/London/Roundhouse/Youssou-NDour/40868903/ | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Senegalese music legend live in Camden. | Available | DJ John Armstrong | 21:00 | 22:30 | Curfew 23:00
2025-07-18 | Peter Cat Recording Co. | https://www.axs.com/events/481942/peter-cat-recording-co-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Indian indie-fusion band brings eclectic sounds. | Available | N/A | 21:00 | 22:30 | Curfew 23:00
2025-08-12 | Melvins + Redd Kross | https://www.seetickets.com/event/melvins/the-electric-ballroom/3351411 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Sludge-rock pioneers Melvins with special guests Redd Kross. | Available | Redd Kross | 21:00 | 22:30 | N/A
2025-08-28 | The Lemonheads | https://www.seetickets.com/event/the-lemonheads/electric-ballroom/3312345 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Evan Dando and co. deliver classic alt-rock anthems. | Available | N/A | 21:00 | 22:30 | N/A
2025-09-28 | An Evening with Damiano David | https://www.roundhouse.org.uk/whats-on/2025/an-evening-with-damiano-david/ | Camden | Roundhouse | 3300 | 19:00 | 19:30 | 23:00 | Måneskin’s frontman steps into the solo spotlight. | Sold Out | N/A | 20:00 | 22:30 | N/A
2025-10-31 | The Stranglers + Buzzcocks | https://www.seetickets.com/event/the-stranglers-buzzcocks/roundhouse/3356789 | Camden | Roundhouse | 3300 | 19:00 | 19:30 | 23:00 | Two punk legends unite to deliver an unforgettable night of hits. | Available | Buzzcocks | 21:00 | 22:45 | N/A
2025-10-31 | Gogol Bordello | https://www.seetickets.com/event/gogol-bordello/electric-ballroom/3367890 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Wild gypsy-punk extravaganza to celebrate Halloween. | Available | N/A | 21:00 | 22:30 | N/A
2025-11-02 | Adam Ant | https://www.seetickets.com/event/adam-ant/roundhouse/3378901 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | 80s New Wave icon performs his classics and fan favorites. | Available | N/A | 21:00 | 22:30 | N/A
2025-11-11 | Perfume Genius | https://www.seetickets.com/event/perfume-genius/roundhouse/3390123 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Indie art-pop auteur performs an emotive and theatrical set. | Available | N/A | 21:00 | 22:30 | N/A
2025-11-15 | Turin Brakes | https://www.seetickets.com/event/turin-brakes/o2-academy-islington/3391234 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | London folk-rockers return with an evening of melodic indie tunes (w/ Tom Speight). | Available | Tom Speight | 21:00 | 22:30 | N/A
2025-12-10 | The Charlatans | https://www.seetickets.com/event/the-charlatans/roundhouse/3396789 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Iconic British rock band performs hits spanning their decades-long career. | Available | N/A | 21:00 | 22:30 | N/A
2025-12-20 | Clutch | https://www.seetickets.com/event/clutch/roundhouse/3397890 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | American rockers bring groove-laden hard rock to Camden. | Available | N/A | 21:00 | 22:30 | N/A
2026-01-30 | Skids + Richard Jobson | https://www.seetickets.com/event/skids/o2-academy-islington/3408901 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Scottish punk legends (“Into the Valley”) with frontman Richard Jobson back on stage. | Available | N/A | 21:00 | 22:30 | N/A
2026-01-31 | White Lies | https://dice.fm/event/white-lies-31st-jan-roundhouse-london-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Post-punk indie favorites perform a set of dark, soaring tracks. | Available | N/A | 21:00 | 22:30 | N/A
2026-02-12 | Durand Jones & The Indications | https://www.seetickets.com/event/durand-jones-the-indications/roundhouse/3419012 | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Retro-soul band brings smooth harmonies and vintage vibes. | Available | N/A | 21:00 | 22:30 | N/A
2026-02-20 | Fozzy + Tailgunner + Marisa and the Moths | https://www.seetickets.com/event/fozzy/electric-ballroom/3420123 | Camden | Electric Ballroom | 1500 | 19:00 | 19:30 | 23:00 | Wrestling star Chris Jericho’s heavy metal band rocks the stage (with support acts). | Available | Tailgunner | 20:30 | 22:30 | N/A
2026-03-19 | Kate Nash | https://dice.fm/event/kate-nash-19th-mar-roundhouse-london-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Beloved singer-songwriter performs infectious indie-pop hits and new material. | Available | N/A | 21:00 | 22:30 | N/A
2026-04-17 | Half Man Half Biscuit | https://www.seetickets.com/event/half-man-half-biscuit/electric-ballroom/3431234 | Camden | Electric Ballroom | 1500 | 19:00 | 20:00 | 23:00 | Cult indie band delivers sardonic, witty rock tunes to devoted fans. | Available | N/A | 21:00 | 22:30 | N/A
2026-06-11 | Ye Vagabonds | https://dice.fm/event/ye-vagabonds-11th-jun-roundhouse-london-tickets | Camden | Roundhouse | 3300 | 19:00 | 20:00 | 23:00 | Acclaimed Irish folk duo weaves rich harmonies and storytelling songs. | Available | N/A | 21:00 | 22:30 | N/A
2026-06-13 | Indiepalooza (Indie Tribute Festival) | https://www.seetickets.com/event/indiepalooza/electric-ballroom/3442345 | Camden | Electric Ballroom | 1500 | 18:00 | 18:30 | 23:00 | Tribute acts celebrate indie rock icons (Killers, Oasis, Arctic Monkeys, etc). | Available | The Kopycat Killers | 20:00 | 22:30 | Multiple tribute bands lineup
